tilt,key_resp.keys,key_resp.corr,,hit,miss,fa,c_rej,,,,
-4,up,0,,,1,,,,,,
4,down,1,,1,,,,,,respond YES,respond NO
0,up,1,,1,,,,,signal present,hit,miss
-5,down,1,,,,,1,,signal absent,false alarm,correct rejection
-3,down,1,,,,,1,,,,
-2,up,0,,,1,,,,,respond YES,respond NO
0,up,1,,1,,,,,signal present,64,83
-4,down,1,,,,,1,,signal absent,0,53
0,up,1,,1,,,,,,,
0,up,1,,1,,,,,prop hit = ,hit/hit+miss,0.43537415
2,up,0,,,1,,,,prop fa = ,fa/fa+c_rej,0
0,up,1,,1,,,,,d-prime = ,z(prop hit) -z(prop fa),-0.162708062
0,up,1,,1,,,,,c = , -z(prop hit) + z(prop fa)/2,0.08135403
3,up,0,,,1,,,,,,
-4,down,1,,,,,1,,,,
-5,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
0,up,1,,1,,,,,,,
0,up,1,,1,,,,,,,
-3,down,1,,,,,1,,,,
-2,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
3,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
-4,down,1,,,,,1,,,,
-1,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
0,up,1,,1,,,,,,,
4,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
1,up,0,,,1,,,,,,
1,up,0,,,1,,,,,,
-1,up,0,,,1,,,,,,
-4,down,1,,,,,1,,,,
-3,down,1,,,,,1,,,,
0,down,0,,,1,,,,,,
1,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-5,down,1,,,,,1,,,,
2,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
4,down,1,,,,,1,,,,
-2,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-3,down,1,,,,,1,,,,
-3,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-4,down,1,,,,,1,,,,
-1,up,0,,,1,,,,,,
3,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
0,up,1,,1,,,,,,,
-4,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
0,down,0,,,1,,,,,,
3,down,1,,,,,1,,,,
0,down,0,,,1,,,,,,
-1,down,1,,,,,1,,,,
3,up,0,,,1,,,,,,
0,down,0,,,1,,,,,,
2,up,0,,,1,,,,,,
0,down,0,,,1,,,,,,
0,up,1,,1,,,,,,,
0,up,1,,1,,,,,,,
4,up,0,,,1,,,,,,
1,up,0,,,1,,,,,,
0,down,0,,,1,,,,,,
0,down,0,,,1,,,,,,
-1,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-2,down,1,,,,,1,,,,
3,down,1,,,,,1,,,,
-2,up,0,,,1,,,,,,
0,down,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-4,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-4,up,0,,,1,,,,,,
-3,down,1,,,,,1,,,,
-3,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
0,up,1,,1,,,,,,,
4,down,1,,,,,1,,,,
-5,down,1,,,,,1,,,,
-2,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-4,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
2,up,0,,,1,,,,,,
0,up,1,,1,,,,,,,
-4,down,1,,,,,1,,,,
3,down,1,,,,,1,,,,
0,up,1,,1,,,,,,,
